sev_obs,sev_exp,freq
0,0,914
0,1,28
0,2,1
1,0,586
1,1,74
1,2,5
2,0,258
2,1,68
2,2,7
3,0,139
3,1,43
3,2,10
3,3,3
4,0,79
4,1,38
4,2,9
5,0,42
5,1,45
5,2,8
5,3,2
6,0,24
6,1,23
6,2,5
6,3,2
7,0,19
7,1,5
7,2,7
7,3,2
7,4,1
8,0,6
8,1,9
8,2,5
8,3,1
9,0,7
9,1,4
9,2,4
10,0,7
10,1,5
10,2,4
10,3,1
11,0,4
11,1,3
11,3,1
12,0,2
12,1,4
12,2,4
12,3,2
12,5,1
13,0,1
13,1,4
13,2,1
14,1,2
14,3,1
15,0,3
15,1,1
15,2,1
16,3,2
16,4,1
17,3,1
18,0,1
18,1,1
18,2,1
19,2,1
20,0,1
20,2,1
20,4,1
21,3,1
22,0,1
22,5,1
25,1,1
26,3,2
27,2,1
58,8,1
