sev_obs,sev_exp,freq
0,0,925
0,1,13
1,0,570
1,1,98
1,2,2
2,0,260
2,1,76
2,2,3
3,0,138
3,1,57
3,2,15
4,0,68
4,1,36
4,2,11
5,0,42
5,1,30
5,2,10
5,3,2
5,4,1
6,0,23
6,1,23
6,2,9
6,3,2
7,0,16
7,1,16
7,2,3
7,3,1
8,0,8
8,1,13
8,2,5
8,4,1
9,0,3
9,1,6
9,2,2
9,3,1
10,0,3
10,1,7
10,2,1
10,3,1
11,0,1
11,1,3
11,2,3
11,3,1
12,0,2
12,1,4
12,2,2
12,3,2
13,0,1
13,1,5
13,5,1
14,1,2
14,4,1
15,0,1
15,1,2
15,2,1
15,3,2
15,4,1
16,0,2
16,2,1
17,0,3
17,4,1
17,5,1
20,0,1
20,1,1
20,2,1
21,1,2
21,3,1
23,1,1
26,3,1
27,2,1
30,4,1
56,3,1
