sev_obs,sev_exp,freq
0,0,948
0,1,7
1,0,577
1,1,110
1,2,4
2,0,251
2,1,65
2,2,8
2,3,1
3,0,117
3,1,52
3,2,8
4,0,81
4,1,39
4,2,17
4,3,3
5,0,37
5,1,32
5,2,11
5,3,1
6,0,29
6,1,21
6,2,5
6,3,1
6,4,1
7,0,12
7,1,16
7,2,4
7,3,4
8,0,5
8,1,8
8,2,7
9,0,7
9,1,5
9,2,5
9,3,1
10,0,2
10,2,4
10,3,1
11,0,5
11,1,5
11,2,3
11,3,3
11,5,1
12,0,4
12,1,4
12,2,2
13,0,1
13,1,1
13,2,1
13,3,3
13,4,1
14,0,1
14,1,2
14,2,1
14,3,1
15,1,2
15,4,1
16,3,2
17,0,1
17,2,1
18,0,1
18,1,3
20,1,1
20,2,1
22,2,1
24,1,1
25,1,1
25,2,1
26,1,1
28,4,1
29,2,1
48,9,1
