sev_obs,sev_exp,freq
0,0,942
0,1,10
1,0,578
1,1,85
1,2,1
2,0,284
2,1,69
2,2,7
3,0,126
3,1,55
3,2,10
3,3,3
4,0,69
4,1,32
4,2,12
5,0,40
5,1,36
5,2,8
5,3,4
6,0,28
6,1,17
6,2,8
7,0,18
7,1,12
7,2,7
7,3,1
8,0,6
8,1,12
8,2,6
8,3,2
9,0,9
9,1,4
9,2,4
9,3,1
9,5,1
10,0,2
10,1,6
10,2,3
10,3,3
10,4,1
11,0,7
11,1,2
11,3,1
12,0,2
12,1,4
12,2,1
12,4,1
13,0,1
13,1,4
13,2,2
13,3,2
14,0,1
14,1,1
14,5,1
15,2,2
15,5,1
16,1,1
16,3,1
16,5,1
17,0,2
17,2,1
18,1,1
18,2,2
19,1,1
21,1,1
22,3,1
25,1,1
26,2,1
27,3,1
27,5,1
28,1,1
31,2,1
53,5,1
